year,life_expectancy_years,infant_mortality_per_1000,maternal_mortality_per_100k,fertility_rate_births_per_woman,measles_immunization_pct,health_spending_pct_gdp,adult_literacy_pct,primary_enrolment_pct_gross,secondary_enrolment_pct_gross,education_spending_pct_gdp,gdp_per_capita_usd,gdp_per_capita_ppp_usd,gdp_growth_pct,inflation_pct,remittances_received_usd,poverty_headcount_national_pct,gini_index,population_total,urban_population_pct
2007,60.001,57.3,675.0,5.685,88.0,4.95501947,,73.9508819580078,,0.816860020160675,724.726407242432,1985.040252425,3.04324950829739,5.36913473801957,55662540.3698082,,,1765774.0,53.9196109423854
2008,60.473,55.3,653.0,5.625,92.0,4.65938759,,73.5566177368164,45.2912902832031,2.18129992485046,859.127671411226,2088.27166129033,6.25590553394287,4.4436549094501,64811558.9717228,,,1817852.0,54.6431233516671
2009,60.735,53.4,634.0,5.574,96.0,4.46430635,,73.4096527099609,46.214469909668,1.90813994407654,774.888030908091,2177.05344695607,6.6657243078367,4.56150687670983,79801153.1264915,,,1871422.0,55.3379286345209
2010,61.167,51.5,632.0,5.558,92.0,4.11944056,,73.4599827384096,45.5351409912109,2.56322002410889,801.033372714536,2266.82898238442,5.90833580968288,5.04968075857402,115699060.997021,48.1,43.6,1926630.0,56.0110896605662
2011,61.561,49.8,634.0,5.542,91.0,4.36967373,,72.1906633471926,,2.50116991996765,710.608411468152,2064.253852883,-8.13044422315659,4.7958826618311,91358953.7745976,,,1983784.0,56.6696692994225
2012,61.9,48.1,628.0,5.519,95.0,4.26872253,,75.4592652374635,,2.63756990432739,692.579361628102,2064.81438121612,5.24156924630741,4.25432199813899,106349453.092419,,,2043094.0,57.3207304207091
2013,62.252,46.5,606.0,5.392,96.0,3.91374874,,77.5318910077468,,1.81839001178741,653.862713272743,2006.74081646788,2.872768790327,5.69912989637382,109829221.954619,,,2103820.0,57.970305611505
2014,62.576,45.0,561.0,5.197,96.0,3.05234575,,80.6712752410406,,2.23094010353088,568.00453558864,1933.70329718446,-1.40738249510954,5.94799935696626,137771209.405021,,,2164528.0,58.6141799655551
2015,62.971,43.5,527.0,5.003,97.0,3.1761291,50.7799987792969,83.6767800021667,,2.16002988815308,619.536364296461,1990.31625750973,4.0580738039996,6.8084549457961,154062367.652957,48.6,35.9,2224529.0,59.2458499408388
2016,63.386,42.1,490.0,4.809,97.0,3.19523716,,85.4968152866242,,2.0244300365448,650.056501323611,2012.67648180251,1.94335965478776,7.22879272057922,145678794.701272,,,2283769.0,59.8652472486563
2017,63.708,40.7,469.0,4.614,90.0,3.35449266,,88.6915742090233,,2.45919445096525,642.522641296331,2038.95429850128,4.8226112492757,8.03418974545911,160167345.280047,,,2342189.0,60.471712657237
2018,64.034,39.4,450.0,4.42,91.0,3.18501234,53.1599998474121,91.4803276676529,,2.36543989181519,696.219806960615,2277.44236224191,7.23489033258579,6.52096823946573,212034736.09746,,,2399632.0,61.0645869348107
2019,64.427,38.2,422.0,4.33,85.0,3.14534926,,95.0965771907399,,2.80809703332656,738.186751987483,2421.72318070615,6.22205315994859,7.11567625631192,275825107.455024,,,2456844.0,61.643210849607
2020,64.418,37.0,400.0,4.248,82.0,4.01436949,,96.8827026600674,,2.88734569797808,720.335143352133,2530.80414937307,0.591487287873974,5.93127636562441,416418880.667872,53.4,38.8,2515733.0,62.2069251698555
2021,63.847,35.9,420.0,4.165,79.0,3.74321485,51.6399993896484,96.3235417651704,107.027125590442,3.04477694635226,781.890925169531,2777.79620978324,5.25596878816744,7.37034758876618,547051423.801967,,,2576010.0,62.7550706637859
2022,64.859,34.7,365.0,4.078,74.0,3.53697729,,97.2781723362608,,2.89168744551701,836.244875868476,3067.31040374628,5.49299823010114,11.5131198380505,501844380.374608,,,2636470.0,63.2869880996278
2023,65.86,33.7,354.0,4.006,80.0,2.89250112,,98.7359670428779,,2.80838156544977,883.024111719809,3289.13283057107,5.9167957146697,16.9742129632327,514905280.337869,,,2697845.0,63.8020182456108
2024,66.057,32.7,,3.907,83.0,,,98.6058833319274,,,871.340291776294,3475.61245701341,5.55126069510321,11.5610532897511,529052514.703634,,,2759988.0,64.2994103409645
2025,,,,,,,,100.429016187878,,,,,,,,,,,
